cds	gene
cds50	gene26
cds50	gene26
cds50	gene26
cds50	gene26
cds50	gene26
cds50	gene26
cds50	gene26
cds50	gene26
cds51	gene27
cds51	gene27
cds51	gene27
cds51	gene27
cds51	gene27
cds51	gene27
cds51	gene27
cds51	gene27
cds51	gene27
cds51	gene27
cds52	gene28
cds52	gene28
cds52	gene28
cds52	gene28
cds53	gene28
cds53	gene28
cds53	gene28
cds53	gene28
cds54	gene28
cds54	gene28
cds54	gene28
cds54	gene28
cds55	gene28
cds55	gene28
cds55	gene28
cds55	gene28
cds56	gene30
cds56	gene30
cds56	gene30
cds56	gene30
cds56	gene30
cds56	gene30
cds57	gene31
cds57	gene31
cds57	gene31
cds57	gene31
cds58	gene32
cds58	gene32
cds58	gene32
cds58	gene32
cds58	gene32
cds58	gene32
cds58	gene32
cds58	gene32
cds58	gene32
cds58	gene32
cds58	gene32
cds59	gene33
cds59	gene33
cds59	gene33
cds60	gene34
cds60	gene34
cds60	gene34
cds60	gene34
cds60	gene34
cds61	gene34
cds61	gene34
cds61	gene34
cds61	gene34
cds61	gene34
cds62	gene34
cds62	gene34
cds62	gene34
cds62	gene34
cds62	gene34
cds63	gene34
cds63	gene34
cds63	gene34
cds63	gene34
cds63	gene34
cds64	gene35
cds64	gene35
cds64	gene35
cds64	gene35
cds64	gene35
cds65	gene35
cds65	gene35
cds65	gene35
cds65	gene35
cds65	gene35
cds66	gene35
cds66	gene35
cds66	gene35
cds66	gene35
cds67	gene35
cds67	gene35
cds67	gene35
cds67	gene35
cds67	gene35
cds68	gene35
cds68	gene35
cds68	gene35
cds68	gene35
cds68	gene35
cds69	gene35
cds69	gene35
cds69	gene35
cds69	gene35
cds69	gene35
cds70	gene35
cds70	gene35
cds70	gene35
cds70	gene35
cds70	gene35
cds71	gene35
cds71	gene35
cds71	gene35
cds71	gene35
cds71	gene35
cds72	gene36
cds72	gene36
cds73	gene37
cds73	gene37
cds73	gene37
cds74	gene38
cds75	gene39
cds75	gene39
cds76	gene40
cds76	gene40
cds76	gene40
cds76	gene40
cds76	gene40
cds76	gene40
cds77	gene40
cds77	gene40
cds77	gene40
cds77	gene40
cds77	gene40
cds77	gene40
cds78	gene40
cds78	gene40
cds78	gene40
cds78	gene40
cds78	gene40
cds78	gene40
cds79	gene40
cds79	gene40
cds79	gene40
cds79	gene40
cds79	gene40
cds80	gene41
cds80	gene41
cds80	gene41
cds81	gene41
cds81	gene41
cds81	gene41
cds82	gene42
cds82	gene42
cds82	gene42
cds82	gene42
cds82	gene42
cds83	gene43
cds83	gene43
cds83	gene43
cds83	gene43
cds83	gene43
cds84	gene44
cds84	gene44
cds84	gene44
cds84	gene44
cds84	gene44
cds84	gene44
cds84	gene44
cds84	gene44
cds84	gene44
cds84	gene44
cds84	gene44
cds84	gene44
cds84	gene44
cds84	gene44
cds85	gene46
cds85	gene46
cds86	gene47
cds86	gene47
cds86	gene47
cds86	gene47
cds86	gene47
cds86	gene47
cds87	gene48
cds87	gene48
cds87	gene48
cds87	gene48
cds87	gene48
cds87	gene48
cds87	gene48
cds87	gene48
cds87	gene48
cds87	gene48
cds87	gene48
cds88	gene48
cds88	gene48
cds88	gene48
cds88	gene48
cds88	gene48
cds88	gene48
cds88	gene48
cds88	gene48
cds88	gene48
cds88	gene48
cds89	gene49
cds89	gene49
cds89	gene49
cds89	gene49
cds89	gene49
cds89	gene49
cds89	gene49
cds89	gene49
cds89	gene49
cds89	gene49
cds90	gene50
cds90	gene50
cds90	gene50
cds90	gene50
cds91	gene51
cds91	gene51
cds91	gene51
cds91	gene51
cds91	gene51
cds92	gene52
cds92	gene52
cds92	gene52
cds92	gene52
cds92	gene52
cds92	gene52
cds93	gene52
cds93	gene52
cds93	gene52
cds93	gene52
cds93	gene52
cds93	gene52
cds94	gene53
cds94	gene53
cds94	gene53
cds94	gene53
cds94	gene53
cds94	gene53
cds95	gene54
cds95	gene54
cds95	gene54
cds95	gene54
cds95	gene54
cds95	gene54
cds95	gene54
cds95	gene54
cds95	gene54
cds95	gene54
cds95	gene54
cds95	gene54
cds96	gene55
cds96	gene55
cds96	gene55
cds96	gene55
cds96	gene55
cds97	gene56
cds97	gene56
cds97	gene56
cds97	gene56
cds97	gene56
cds98	gene57
cds98	gene57
cds98	gene57
cds99	gene58
cds99	gene58
cds99	gene58
cds99	gene58
cds99	gene58
cds99	gene58
cds99	gene58
cds99	gene58
cds100	gene59
cds100	gene59
cds100	gene59
cds100	gene59
cds100	gene59
cds100	gene59
cds101	gene59
cds101	gene59
cds101	gene59
cds101	gene59
cds101	gene59
cds101	gene59
cds102	gene60
cds102	gene60
cds102	gene60
cds102	gene60
cds102	gene60
cds103	gene61
cds104	gene62
cds104	gene62
cds104	gene62
cds104	gene62
cds104	gene62
cds104	gene62
cds104	gene62
cds105	gene62
cds105	gene62
cds105	gene62
cds105	gene62
cds105	gene62
cds105	gene62
cds105	gene62
cds105	gene62
cds106	gene63
cds107	gene63
cds107	gene63
cds108	gene63
cds109	gene63
cds110	gene63
cds110	gene63
cds111	gene64
cds111	gene64
cds111	gene64
cds111	gene64
cds112	gene65
cds112	gene65
cds112	gene65
cds112	gene65
cds112	gene65
cds112	gene65
cds112	gene65
cds113	gene66
cds113	gene66
cds113	gene66
cds113	gene66
cds113	gene66
cds113	gene66
cds114	gene66
cds114	gene66
cds114	gene66
cds114	gene66
cds114	gene66
cds115	gene66
cds115	gene66
cds115	gene66
cds115	gene66
cds115	gene66
cds116	gene66
cds116	gene66
cds116	gene66
cds116	gene66
cds116	gene66
cds117	gene67
cds117	gene67
cds117	gene67
cds118	gene68
cds118	gene68
cds118	gene68
cds118	gene68
cds119	gene68
cds119	gene68
cds119	gene68
cds120	gene68
cds120	gene68
cds120	gene68
cds120	gene68
cds121	gene69
cds121	gene69
cds121	gene69
cds121	gene69
cds121	gene69
cds121	gene69
cds121	gene69
cds122	gene70
cds122	gene70
cds122	gene70
cds122	gene70
cds122	gene70
cds122	gene70
cds122	gene70
cds123	gene71
cds124	gene71
cds125	gene71
cds126	gene72
cds126	gene72
cds126	gene72
cds126	gene72
cds126	gene72
cds126	gene72
cds126	gene72
cds127	gene72
cds127	gene72
cds127	gene72
cds127	gene72
cds127	gene72
cds127	gene72
cds127	gene72
cds128	gene73
cds128	gene73
cds128	gene73
cds128	gene73
cds128	gene73
cds128	gene73
cds129	gene73
cds129	gene73
cds129	gene73
cds129	gene73
cds129	gene73
cds129	gene73
cds130	gene75
cds130	gene75
cds130	gene75
