cds	gene
cds59	gene57
cds60	gene58
cds60	gene58
cds60	gene58
cds60	gene58
cds60	gene58
cds60	gene58
cds60	gene58
cds61	gene59
cds62	gene60
cds62	gene60
cds62	gene60
cds62	gene60
cds62	gene60
cds62	gene60
cds62	gene60
cds62	gene60
cds62	gene60
cds63	gene61
cds63	gene61
cds63	gene61
cds63	gene61
cds63	gene61
cds63	gene61
cds63	gene61
cds64	gene61
cds64	gene61
cds64	gene61
cds64	gene61
cds64	gene61
cds65	gene61
cds65	gene61
cds65	gene61
cds65	gene61
cds65	gene61
cds65	gene61
cds66	gene62
cds66	gene62
cds66	gene62
cds66	gene62
cds66	gene62
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds67	gene63
cds68	gene64
cds68	gene64
cds68	gene64
cds68	gene64
cds68	gene64
cds68	gene64
cds68	gene64
cds68	gene64
cds68	gene64
cds69	gene65
cds69	gene65
cds69	gene65
cds69	gene65
cds70	gene66
cds71	gene67
cds71	gene67
cds71	gene67
cds71	gene67
cds72	gene68
cds72	gene68
cds72	gene68
cds73	gene69
cds73	gene69
cds73	gene69
cds73	gene69
cds73	gene69
cds73	gene69
