cds	gene
cds72	gene80
cds72	gene80
cds73	gene81
cds73	gene81
cds73	gene81
cds73	gene81
cds73	gene81
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds74	gene82
cds75	gene83
cds75	gene83
cds75	gene83
cds75	gene83
cds76	gene84
cds76	gene84
cds76	gene84
cds76	gene84
cds76	gene84
cds76	gene84
cds76	gene84
cds76	gene84
cds76	gene84
cds76	gene84
cds76	gene84
cds76	gene84
cds76	gene84
cds76	gene84
cds77	gene85
cds77	gene85
cds77	gene85
cds77	gene85
cds77	gene85
cds77	gene85
cds77	gene85
cds77	gene85
cds77	gene85
cds77	gene85
cds77	gene85
cds77	gene85
cds78	gene86
cds78	gene86
cds78	gene86
cds78	gene86
cds78	gene86
cds78	gene86
cds78	gene86
cds78	gene86
cds78	gene86
cds78	gene86
cds78	gene86
cds78	gene86
cds78	gene86
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds79	gene87
cds80	gene88
cds80	gene88
cds80	gene88
cds80	gene88
cds80	gene88
cds80	gene88
cds80	gene88
cds80	gene88
cds80	gene88
cds80	gene88
cds80	gene88
cds80	gene88
cds81	gene90
cds81	gene90
cds81	gene90
cds81	gene90
cds81	gene90
cds82	gene91
cds82	gene91
cds82	gene91
cds82	gene91
cds82	gene91
cds82	gene91
cds83	gene92
cds83	gene92
cds83	gene92
cds83	gene92
cds83	gene92
cds83	gene92
cds83	gene92
cds83	gene92
cds84	gene93
cds85	gene94
cds85	gene94
cds85	gene94
cds85	gene94
cds85	gene94
cds85	gene94
cds85	gene94
cds86	gene95
cds86	gene95
cds86	gene95
cds86	gene95
cds86	gene95
cds86	gene95
cds86	gene95
cds86	gene95
cds87	gene96
cds87	gene96
cds87	gene96
cds87	gene96
cds87	gene96
cds88	gene97
cds88	gene97
cds89	gene98
cds90	gene99
cds90	gene99
cds90	gene99
cds90	gene99
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds91	gene100
cds92	gene101
cds92	gene101
cds92	gene101
cds93	gene102
cds93	gene102
cds93	gene102
cds93	gene102
cds93	gene102
cds94	gene103
cds94	gene103
cds95	gene104
cds95	gene104
cds95	gene104
cds95	gene104
cds95	gene104
cds96	gene105
cds96	gene105
cds97	gene106
cds97	gene106
cds98	gene107
cds99	gene108
cds99	gene108
cds100	gene109
cds100	gene109
cds100	gene109
cds100	gene109
cds100	gene109
cds100	gene109
cds100	gene109
cds100	gene109
cds100	gene109
cds100	gene109
cds100	gene109
cds100	gene109
cds100	gene109
cds101	gene110
cds102	gene111
cds102	gene111
cds102	gene111
cds102	gene111
cds102	gene111
cds102	gene111
cds102	gene111
cds102	gene111
cds102	gene111
cds102	gene111
cds102	gene111
cds103	gene112
cds103	gene112
cds103	gene112
cds103	gene112
cds103	gene112
cds103	gene112
cds103	gene112
cds103	gene112
cds103	gene112
cds103	gene112
cds103	gene112
cds103	gene112
cds104	gene114
cds104	gene114
cds104	gene114
cds104	gene114
cds104	gene114
cds104	gene114
cds104	gene114
cds104	gene114
cds105	gene116
cds105	gene116
cds105	gene116
cds105	gene116
cds105	gene116
cds105	gene116
cds105	gene116
cds105	gene116
cds105	gene116
cds105	gene116
cds105	gene116
cds105	gene116
cds105	gene116
cds105	gene116
cds105	gene116
cds106	gene117
cds106	gene117
cds106	gene117
cds106	gene117
cds106	gene117
cds106	gene117
cds106	gene117
cds106	gene117
cds107	gene118
cds107	gene118
cds108	gene120
cds109	gene121
cds109	gene121
cds109	gene121
cds109	gene121
cds109	gene121
cds110	gene122
cds111	gene123
cds112	gene124
cds112	gene124
cds113	gene125
cds113	gene125
cds114	gene126
cds114	gene126
cds115	gene127
cds115	gene127
cds115	gene127
cds115	gene127
cds115	gene127
cds116	gene128
cds116	gene128
cds117	gene129
cds118	gene130
cds118	gene130
cds118	gene130
cds118	gene130
cds119	gene131
cds119	gene131
cds119	gene131
cds119	gene131
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds120	gene132
cds121	gene133
cds121	gene133
cds121	gene133
cds122	gene134
cds123	gene135
cds123	gene135
cds123	gene135
cds123	gene135
